"PatientID","EMTscore"
"TCGA-OR-A5J1-01A-11R-A29S-07",1.54642147202754
"TCGA-OR-A5J2-01A-11R-A29S-07",2.52479079164077
"TCGA-OR-A5J3-01A-11R-A29S-07",1.67308203476243
"TCGA-OR-A5J5-01A-11R-A29S-07",1.44516433689093
"TCGA-OR-A5J6-01A-31R-A29S-07",1.08666436820912
"TCGA-OR-A5J7-01A-11R-A29S-07",2.72998241950159
"TCGA-OR-A5J8-01A-11R-A29S-07",7.17302244694397
"TCGA-OR-A5J9-01A-11R-A29S-07",3.04382099231867
"TCGA-OR-A5JA-01A-11R-A29S-07",1.86557809962445
"TCGA-OR-A5JB-01A-11R-A29S-07",2.348651474219
"TCGA-OR-A5JC-01A-11R-A29S-07",2.81858574671027
"TCGA-OR-A5JD-01A-11R-A29S-07",1.92401761450827
"TCGA-OR-A5JE-01A-11R-A29S-07",3.00245817983133
"TCGA-OR-A5JF-01A-11R-A29S-07",2.66116003965243
"TCGA-OR-A5JG-01A-11R-A29S-07",3.17826333348877
"TCGA-OR-A5JI-01A-11R-A29S-07",3.52913019383066
"TCGA-OR-A5JJ-01A-11R-A29S-07",2.76384824816871
"TCGA-OR-A5JK-01A-11R-A29S-07",2.9044560486819
"TCGA-OR-A5JL-01A-11R-A29S-07",1.08730733648614
"TCGA-OR-A5JM-01A-11R-A29S-07",1.76441204649067
"TCGA-OR-A5JO-01A-11R-A29S-07",3.2194299285259
"TCGA-OR-A5JP-01A-11R-A29S-07",3.98888628136046
"TCGA-OR-A5JQ-01A-11R-A29S-07",3.4285473087209
"TCGA-OR-A5JR-01A-11R-A29S-07",1.62514566302712
"TCGA-OR-A5JS-01A-11R-A29S-07",2.74461865216709
"TCGA-OR-A5JT-01A-11R-A29S-07",2.08569522919007
"TCGA-OR-A5JV-01A-11R-A29S-07",2.43075117724935
"TCGA-OR-A5JW-01A-11R-A29S-07",2.03892439067687
"TCGA-OR-A5JX-01A-11R-A29S-07",2.70928541972131
"TCGA-OR-A5JY-01A-31R-A29S-07",1.83097249575199
"TCGA-OR-A5JZ-01A-11R-A29S-07",1.92773318065664
"TCGA-OR-A5K0-01A-11R-A29S-07",1.12107132723064
"TCGA-OR-A5K1-01A-11R-A29S-07",2.10548388907315
"TCGA-OR-A5K2-01A-11R-A29S-07",2.45751374888386
"TCGA-OR-A5K3-01A-11R-A29S-07",1.43112991611795
"TCGA-OR-A5K4-01A-11R-A29S-07",0.730734919509297
"TCGA-OR-A5K5-01A-11R-A29S-07",1.96598162269997
"TCGA-OR-A5K6-01A-11R-A29S-07",2.65683021584516
"TCGA-OR-A5K8-01A-11R-A29S-07",2.99224222891965
"TCGA-OR-A5K9-01A-11R-A29S-07",3.10143893135978
"TCGA-OR-A5KO-01A-11R-A29S-07",2.8907068344605
"TCGA-OR-A5KT-01A-11R-A29S-07",4.44596269575022
"TCGA-OR-A5KU-01A-11R-A29S-07",3.11557498077404
"TCGA-OR-A5KV-01A-11R-A29S-07",1.34196748732723
"TCGA-OR-A5KW-01A-11R-A29S-07",2.39781726343885
"TCGA-OR-A5KX-01A-11R-A29S-07",1.06942798033912
"TCGA-OR-A5KY-01A-11R-A29S-07",4.14425957711422
"TCGA-OR-A5KZ-01A-11R-A29S-07",4.02929184288777
"TCGA-OR-A5L3-01A-11R-A29S-07",2.08058068578513
"TCGA-OR-A5L4-01A-11R-A29S-07",2.92092743243665
"TCGA-OR-A5L5-01A-11R-A29S-07",2.55891421520004
"TCGA-OR-A5L6-01A-11R-A29S-07",2.11139093355881
"TCGA-OR-A5L8-01A-11R-A29S-07",2.55930539247107
"TCGA-OR-A5L9-01A-11R-A29S-07",2.05976496217506
"TCGA-OR-A5LA-01A-11R-A29S-07",2.36582182644595
"TCGA-OR-A5LB-01A-11R-A29S-07",2.75693627617596
"TCGA-OR-A5LC-01A-11R-A29S-07",3.70472678933863
"TCGA-OR-A5LD-01A-11R-A29S-07",3.82493133849236
"TCGA-OR-A5LE-01A-11R-A29S-07",1.88796655823703
"TCGA-OR-A5LG-01A-11R-A29S-07",2.72484751378304
"TCGA-OR-A5LH-01A-11R-A29S-07",0.855750390694407
"TCGA-OR-A5LJ-01A-11R-A29S-07",2.78618195573592
"TCGA-OR-A5LK-01A-11R-A29S-07",1.92888812061425
"TCGA-OR-A5LL-01A-11R-A29S-07",1.71752654709935
"TCGA-OR-A5LM-01A-11R-A29S-07",1.55666687619406
"TCGA-OR-A5LN-01A-11R-A29S-07",1.54990410730696
"TCGA-OR-A5LO-01A-11R-A29S-07",2.75643908738443
"TCGA-OR-A5LP-01A-11R-A29S-07",2.66539912129622
"TCGA-OR-A5LR-01A-11R-A29S-07",1.89429394942515
"TCGA-OR-A5LS-01A-11R-A29S-07",1.14666552770131
"TCGA-OR-A5LT-01A-11R-A29S-07",3.15156682587112
"TCGA-OU-A5PI-01A-12R-A29S-07",3.1608855841818
"TCGA-P6-A5OF-01A-11R-A29S-07",3.63767263177765
"TCGA-P6-A5OG-01A-22R-A29S-07",5.3154714107276
"TCGA-PA-A5YG-01A-11R-A29S-07",2.09426399050765
"TCGA-PK-A5H8-01A-11R-A29S-07",1.09266663353732
"TCGA-PK-A5H9-01A-11R-A29S-07",0.958000024568809
"TCGA-PK-A5HA-01A-11R-A29S-07",2.81527645897351
"TCGA-PK-A5HB-01A-11R-A29S-07",2.87269936622894
"TCGA-2F-A9KO-01A-11R-A38B-07",-1.18042611530625
"TCGA-2F-A9KP-01A-11R-A38B-07",-4.05403022405315
"TCGA-2F-A9KQ-01A-11R-A38B-07",-2.24722910556126
"TCGA-2F-A9KR-01A-11R-A38B-07",-2.4639336511481
"TCGA-2F-A9KT-01A-11R-A38B-07",-1.64344348382974
"TCGA-2F-A9KW-01A-11R-A38B-07",-1.37788714563646
"TCGA-4Z-AA7M-01A-11R-A39I-07",-1.69557996981389
"TCGA-4Z-AA7N-01A-11R-A39I-07",0.255072009553251
"TCGA-4Z-AA7O-01A-31R-A39I-07",-1.55148628020573
"TCGA-4Z-AA7Q-01A-11R-A39I-07",-2.7648206441847
"TCGA-4Z-AA7R-01A-11R-A39I-07",-1.67748583014537
"TCGA-4Z-AA7S-01A-11R-A39I-07",-3.57490019555593
"TCGA-4Z-AA7W-01A-11R-A39I-07",-1.26295777203968
"TCGA-4Z-AA7Y-01A-11R-A39I-07",-3.80151890789021
"TCGA-4Z-AA80-01A-11R-A39I-07",-4.3997435431221
"TCGA-4Z-AA81-01A-11R-A39I-07",-3.29554010811429
"TCGA-4Z-AA82-01A-11R-A39I-07",0.211790294313523
"TCGA-4Z-AA83-01A-11R-A39I-07",-1.77941500102191
"TCGA-4Z-AA84-01A-11R-A39I-07",-0.859569360905835
"TCGA-4Z-AA86-01A-11R-A39I-07",1.26105755292133
"TCGA-4Z-AA87-01A-11R-A39I-07",-2.65927796202995
"TCGA-4Z-AA89-01A-11R-A39I-07",-5.2419095031624
"TCGA-5N-A9KI-01A-31R-A42T-07",-1.07291432335206
"TCGA-5N-A9KM-01A-11R-A42T-07",-1.12173324584542
